name,country,linked_to,link,jurisdiction,year,active,yr_active,gender,term
"DUQUE-LONDONO, JESUS ARMANDO",,STICHTING FONDO SOLIDARIDAD LATINOAMERICA,secretary of,AW,2014,1,10,male,LONDONO
"DUQUE-LONDONO, JESUS ARMANDO",,STICHTING FONDO SOLIDARIDAD LATINOAMERICA,secretary of,AW,2013,1,9,male,LONDONO
"DUQUE-LONDONO, JESUS ARMANDO",,STICHTING FONDO SOLIDARIDAD LATINOAMERICA,secretary of,AW,2012,1,8,male,LONDONO
"DUQUE-LONDONO, JESUS ARMANDO",,STICHTING FONDO SOLIDARIDAD LATINOAMERICA,secretary of,AW,2011,1,7,male,LONDONO
"DUQUE-LONDONO, JESUS ARMANDO",,STICHTING FONDO SOLIDARIDAD LATINOAMERICA,secretary of,AW,2010,1,6,male,LONDONO
"DUQUE-LONDONO, JESUS ARMANDO",,STICHTING FONDO SOLIDARIDAD LATINOAMERICA,secretary of,AW,2009,1,5,male,LONDONO
"DUQUE-LONDONO, JESUS ARMANDO",,STICHTING FONDO SOLIDARIDAD LATINOAMERICA,secretary of,AW,2008,1,4,male,LONDONO
"DUQUE-LONDONO, JESUS ARMANDO",,STICHTING FONDO SOLIDARIDAD LATINOAMERICA,secretary of,AW,2007,1,3,male,LONDONO
"DUQUE-LONDONO, JESUS ARMANDO",,STICHTING FONDO SOLIDARIDAD LATINOAMERICA,secretary of,AW,2006,1,2,male,LONDONO
"DUQUE-LONDONO, JESUS ARMANDO",,STICHTING FONDO SOLIDARIDAD LATINOAMERICA,secretary of,AW,2005,1,1,male,LONDONO
"CALDERON OSORIO, ELIZABETH JOSEFA",,CREACIONES ELICAR,proxy of,AW,2016,1,12,female,OSORIO
"CALDERON OSORIO, ELIZABETH JOSEFA",,CREACIONES ELICAR,proxy of,AW,2015,1,11,female,OSORIO
"CALDERON OSORIO, ELIZABETH JOSEFA",,CREACIONES ELICAR,proxy of,AW,2014,1,10,female,OSORIO
"CALDERON OSORIO, ELIZABETH JOSEFA",,CREACIONES ELICAR,proxy of,AW,2013,1,9,female,OSORIO
