node_id,address...2,name,countries,country_codes,sourceID,valid_until,note,lon,lat,type,loctype,address...13,north,south,east,west
88017156,"WILHELMINASTRAAT 19, LAYEX BUILDING, ORANJESTAD OOST ARUBA","WILHELMINASTRAAT 19, LAYEX BUILDING, ORANJESTAD OOST",Aruba,ABW,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,NA,-70.0086306,12.5092044,political,approximate,"oranjestad-east, aruba",12.5427504,12.4837244,-69.9823093,-70.036254
88017164,"WILHELMINASTRAAT 19, LOKAAL E, ORANJESTAD OOST ARUBA","WILHELMINASTRAAT 19, LOKAAL E, ORANJESTAD OOST",Aruba,ABW,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,NA,-70.0086306,12.5092044,political,approximate,"oranjestad-east, aruba",12.5427504,12.4837244,-69.9823093,-70.036254
88017263,"WILHELMINASTRAAT 58-54, PISO 2, ORANJESTAD OOST ARUBA","WILHELMINASTRAAT 58-54, PISO 2, ORANJESTAD OOST",Aruba,ABW,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,NA,-70.0086306,12.5092044,political,approximate,"oranjestad-east, aruba",12.5427504,12.4837244,-69.9823093,-70.036254
88017275,"WILHELMINASTRAAT 67-C, ORANJESTAD OOST ARUBA","WILHELMINASTRAAT 67-C, ORANJESTAD OOST",Aruba,ABW,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,NA,-70.0314731,12.5183391,subpremise,rooftop,"c, wilhelminastraat 67, oranjestad, aruba",12.5196832302915,12.5169852697085,-70.03015481970849,-70.03285278029149
88017340,"WINDSTRAAT 25, ORANJESTAD OOST ARUBA","WINDSTRAAT 25, ORANJESTAD OOST",Aruba,ABW,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,NA,-70.03219969999999,12.5203981,street_address,rooftop,"windstraat 25, oranjestad, aruba",12.5217164802915,12.5190185197085,-70.030854369708507,-70.03355233029151
88017408,"ZEEWIJK 6, SAN NICOLAS ZUID ARUBA","ZEEWIJK 6, SAN NICOLAS ZUID",Aruba,ABW,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,NA,-69.917067,12.4373811,neighborhood,approximate,"zeewijk, san nicolas, aruba",12.4424016,12.434709,-69.9111369,-69.92285009999999
88017436,"ZOUTMANSTRAAT 27-A, ORANJESTAD OOST ARUBA","ZOUTMANSTRAAT 27-A, ORANJESTAD OOST",Aruba,ABW,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,NA,-70.0346016,12.5177159,premise,rooftop,"zoutmanstraat 27 a, oranjestad, aruba",12.5190749302915,12.5163769697085,-70.03327151970849,-70.0359694802915
88017440,"ZOUTMANSTRAAT 35, ORANJESTAD OOST ARUBA","ZOUTMANSTRAAT 35, ORANJESTAD OOST",Aruba,ABW,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,NA,-70.0344272,12.5174786,premise,rooftop,"zoutmanstraat 35, oranjestad, aruba",12.5188358802915,12.5161379197085,-70.0331010697085,-70.0357990302915
88017453,"ZUIDSTRAAT 2, ORANJESTAD OOST ARUBA","ZUIDSTRAAT 2, ORANJESTAD OOST",Aruba,ABW,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,NA,-70.03469249999999,12.5180813,street_address,range_interpolated,"zuidstraat 2, oranjestad, aruba",12.5194302802915,12.5167323197085,-70.03334351970848,-70.03604148029149
88017645,"BRONSWEG 14 , CURACAO, NETHERLANDS ANTILLES","BRONSWEG 14 , CURACAO, NETHERLANDS ANTILLES",Netherlands Antilles,ANT,Paradise Papers - Aruba corporate registry,Aruba corporate registry data is current through 2016,NA,-68.8900599,12.1067774,street_address,rooftop,"14 bronsweg, willemstad, curaçao",12.1081345802915,12.1054366197085,-68.88873571970849,-68.89143368029151
33000219,MAREVA HOUSE 4 GEORGE STREET PO BOX N-3937 BAHAMAS,MAREVA HOUSE 4 GEORGE STREET PO BOX N-3937 BAHAMAS,Bahamas,BHS,Paradise Papers - Bahamas corporate registry,Bahamas corporate registry data is current through 2016,NA,-77.39627999999999,25.03428,country,approximate,the bahamas,27.444104,21.4248332,-70.6762782,-81.257154
120001922,"CHANCERY HOUSE, HIGH STREET, HIGH STREET, BRIDGETOWN, BARBADOS.","CHANCERY HOUSE, HIGH STREET, HIGH STREET, BRIDGETOWN, BARBADOS.",Barbados,BRB,Paradise Papers - Barbados corporate registry,Barbados corporate registry data is current through 2016,NA,-59.6146381,13.0979123,route,geometric_center,"high st, bridgetown, saint michael barbados",13.0991869302915,13.0964889697085,-59.61321846970849,-59.61591643029149
120004751,"ALPHA & OMEGA LAW CHAMBERS, TRIDENT HOUSE, LOWER BROAD STREET, BRIDGETOWN, BARBADOS.","ALPHA & OMEGA LAW CHAMBERS, TRIDENT HOUSE, LOWER BROAD STREET, BRIDGETOWN, BARBADOS.",Barbados,BRB,Paradise Papers - Barbados corporate registry,Barbados corporate registry data is current through 2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120005343,"C/O J.W.BUSINESS SERVICES INC., INTERNATIONAL TRADING CENTRE, WARRENS, ST. MICHAEL, BARBADOS","C/O J.W.BUSINESS SERVICES INC., INTERNATIONAL TRADING CENTRE, WARRENS, ST. MICHAEL,",Barbados,BRB,Paradise Papers - Barbados corporate registry,Barbados corporate registry data is current through 2016,NA,-59.6060126,13.1462404,political,approximate,"warrens, saint thomas barbados",13.1491941,13.1416291,-59.60233210000001,-59.6114088
120008480,"THE FINANCIAL SERVICES CENTRE BISHOP'S COURT HILL ST. MICHAEL, BARBADOS BARBADOS.","THE FINANCIAL SERVICES CENTRE BISHOP'S COURT HILL ST. MICHAEL, BARBADOS BARBADOS.",Barbados,BRB,Paradise Papers - Barbados corporate registry,Barbados corporate registry data is current through 2016,NA,-59.59880889999999,13.1132219,administrative_area_level_1,approximate,saint michael barbados,13.158466,13.0784939,-59.567387,-59.63719399999999
120017404,"BRAEMAR COURT, DEIGHTON ROAD, ST. MICHAEL, BB14017, BARBADOS.","BRAEMAR COURT, DEIGHTON ROAD, ST. MICHAEL, BB14017, BARBADOS.",Barbados,BRB,Paradise Papers - Barbados corporate registry,Barbados corporate registry data is current through 2016,NA,-59.59879540000001,13.0864968,establishment,geometric_center,"3cp2+hfw, deighton rd, bridgetown, saint michael barbados",13.0878294302915,13.0851314697085,-59.59737061970849,-59.6000685802915
120001623,"#13, 8TH AVENUE, BELLEVILLE, ST.MICHAEL, BARBADOS.","#13, 8TH AVENUE, BELLEVILLE, ST.MICHAEL, BARBADOS.",Barbados,BRB,Paradise Papers - Barbados corporate registry,Barbados corporate registry data is current through 2016,NA,-59.6022463,13.0984269,route,geometric_center,"8th ave, bridgetown, saint michael barbados",13.0997796802915,13.09708171970849,-59.6009491197085,-59.60364708029152
120002081,"GROUND FLOOR, ONE WELCHES, WELCHES, ST.THOMAS, BB22025, BARBADOS.","GROUND FLOOR, ONE WELCHES, WELCHES, ST.THOMAS, BB22025, BARBADOS.",Barbados,BRB,Paradise Papers - Barbados corporate registry,Barbados corporate registry data is current through 2016,NA,-59.60889409999999,13.1517493,political,approximate,"welches, saint thomas barbados",13.1554626,13.1482747,-59.60507869999999,-59.6132754
120001057,"IBC'S SERVICES INCORPORATED, ROCKLEY GOLF AND COUNTRY CLUB, ROCKLEY, CHRIST CHURCH, BARBADOS, BB15121.","IBC'S SERVICES INCORPORATED, ROCKLEY GOLF AND COUNTRY CLUB, ROCKLEY, CHRIST CHURCH, BARBADOS, BB15121.",Barbados,BRB,Paradise Papers - Barbados corporate registry,Barbados corporate registry data is current through 2016,NA,-59.58872439999999,13.0747144,political,approximate,"rockley, bridgetown, christ church barbados",13.0782243,13.0728735,-59.5864963,-59.59143160000001
120002693,"""ROSEBANK"" DERRICKS, ST. JAMES. BARBADOS","""ROSEBANK"" DERRICKS, ST. JAMES.",Barbados,BRB,Paradise Papers - Barbados corporate registry,Barbados corporate registry data is current through 2016,NA,-59.6304714,13.1842181,administrative_area_level_1,approximate,saint james barbados,13.237683,13.1381931,-59.598465,-59.64361599999999
120005171,"C/O THE CORPORATE SECRETARY LIMITED,, 'WHITEPARK HOUSE', WHITE PARK ROAD, BRIDGETOWN, BARBADOS.","C/O THE CORPORATE SECRETARY LIMITED,, 'WHITEPARK HOUSE', WHITE PARK ROAD, BRIDGETOWN, BARBADOS.",Barbados,BRB,Paradise Papers - Barbados corporate registry,Barbados corporate registry data is current through 2016,NA,-59.6138917,13.1031099,route,geometric_center,"whitepark rd, bridgetown, saint michael barbados",13.10600540000003,13.10071799999997,-59.61268561970849,-59.6153835802915
120002782,"BRAEMAR COURT, DIEGHTON ROAD, ST. MICHAEL, BB14017, BARBADOS.","BRAEMAR COURT, DIEGHTON ROAD, ST. MICHAEL, BB14017, BARBADOS.",Barbados,BRB,Paradise Papers - Barbados corporate registry,Barbados corporate registry data is current through 2016,NA,-59.5984436,13.0842124,route,geometric_center,"deighton rd, bridgetown barbados",13.087563,13.0811492,-59.59727981970849,-59.5999777802915
120003979,"""CALAIS"" PROSPECT, ST. JAMES. BARBADOS.","""CALAIS"" PROSPECT, ST. JAMES. BARBADOS.",Barbados,BRB,Paradise Papers - Barbados corporate registry,Barbados corporate registry data is current through 2016,NA,-59.63483120000001,13.1422793,locality,approximate,"prospect, saint james barbados",13.1443568,13.1372523,-59.631896,-59.6388638
120003790,"#3 MUSGRAVE AVENUE, KINGSTON 5, JAMAICA W.I.","#3 MUSGRAVE AVENUE, KINGSTON 5, JAMAICA W.I.",Jamaica,JAM,Paradise Papers - Barbados corporate registry,Barbados corporate registry data is current through 2016,NA,-76.7812782,18.0085502,street_address,rooftop,"5 musgrave ave, kingston, jamaica",18.0098651802915,18.0071672197085,-76.7798361197085,-76.78253408029151
120009417,"ERNST & YOUNG BUILDING, BAY STREET. ST. MICHAEL. BARBADOS","ERNST & YOUNG BUILDING, BAY STREET. ST. MICHAEL.",Barbados,BRB,Paradise Papers - Barbados corporate registry,Barbados corporate registry data is current through 2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120006674,"#8 RALCO APARTMENTS, NEWTON TERRACE, CHRIST CHURCH, BARBADOS.","#8 RALCO APARTMENTS, NEWTON TERRACE, CHRIST CHURCH, BARBADOS.",Barbados,BRB,Paradise Papers - Barbados corporate registry,Barbados corporate registry data is current through 2016,NA,-59.5311142,13.0775117,political,approximate,"newton terrace, oistins, christ church barbados",13.0802904,13.0728685,-59.5236706,-59.5372382
120010203,"C/O CORPORATE SERVICES LIMITED, COLLYMORE ROCK, ST, MICHAEL, BARBADOS.","C/O CORPORATE SERVICES LIMITED, COLLYMORE ROCK, ST, MICHAEL, BARBADOS.",Barbados,BRB,Paradise Papers - Barbados corporate registry,Barbados corporate registry data is current through 2016,NA,-59.5928865,13.0934035,political,approximate,"collymore rock, bridgetown, saint michael barbados",13.0947524802915,13.0920545197085,-59.59153751970849,-59.5942354802915
