"node_id_start","node_id_end","rel_type","link","status","start_date","end_date","sourceID","origin_match"
12096436,10029913,"officer_of","shareholder of",NA,"10-JUN-2003",NA,"Panama Papers","1_node_start"
12205330,10030332,"officer_of","shareholder of",NA,"09-OCT-2014",NA,"Panama Papers","1_node_start"
12185641,10030387,"officer_of","shareholder of",NA,"08-JAN-2014",NA,"Panama Papers","1_node_start"
12052958,10030424,"officer_of","shareholder of",NA,NA,"06-MAR-2006","Panama Papers","1_node_start"
12140095,10030566,"officer_of","shareholder of",NA,"01-NOV-2003",NA,"Panama Papers","1_node_start"
12173681,10030566,"officer_of","shareholder of",NA,"01-NOV-2003",NA,"Panama Papers","1_node_start"
12152687,10030566,"officer_of","shareholder of",NA,"01-NOV-2003",NA,"Panama Papers","1_node_start"
12054343,10031042,"officer_of","shareholder of",NA,NA,NA,"Panama Papers","1_node_start"
12093547,10031131,"officer_of","shareholder of",NA,"11-APR-2013",NA,"Panama Papers","1_node_start"
12093549,10031131,"officer_of","shareholder of",NA,"11-APR-2013",NA,"Panama Papers","1_node_start"
12093550,10031131,"officer_of","shareholder of",NA,NA,"11-APR-2013","Panama Papers","1_node_start"
12135491,10031531,"officer_of","shareholder of",NA,"07-OCT-1980","19-MAY-2003","Panama Papers","1_node_start"
12161291,10031837,"officer_of","shareholder of",NA,"01-APR-2015",NA,"Panama Papers","1_node_start"
12054392,10031992,"officer_of","shareholder of",NA,NA,"08-DEC-2006","Panama Papers","1_node_start"
12220793,10032426,"officer_of","shareholder of",NA,"27-SEP-2003",NA,"Panama Papers","1_node_start"
12080560,10032742,"officer_of","shareholder of",NA,"01-SEP-2005",NA,"Panama Papers","1_node_start"
12053905,10032743,"officer_of","shareholder of",NA,"10-OCT-2006",NA,"Panama Papers","1_node_start"
12053902,10032743,"officer_of","shareholder of",NA,"06-MAY-2005","10-OCT-2006","Panama Papers","1_node_start"
12053903,10032743,"officer_of","shareholder of",NA,"06-MAY-2005","10-OCT-2006","Panama Papers","1_node_start"
12093541,10032750,"officer_of","shareholder of",NA,"15-APR-2007",NA,"Panama Papers","1_node_start"
12055401,10032952,"officer_of","shareholder of",NA,"15-SEP-2004","13-OCT-2009","Panama Papers","1_node_start"
12055402,10032952,"officer_of","shareholder of",NA,"15-SEP-2004","13-OCT-2009","Panama Papers","1_node_start"
12055400,10032952,"officer_of","shareholder of",NA,"15-SEP-2004","13-OCT-2009","Panama Papers","1_node_start"
12153060,10033020,"officer_of","shareholder of",NA,"02-JUN-2014","08-OCT-2014","Panama Papers","1_node_start"
12153072,10033020,"officer_of","shareholder of",NA,"02-JUN-2014",NA,"Panama Papers","1_node_start"
12153073,10033020,"officer_of","shareholder of",NA,"02-JUN-2014",NA,"Panama Papers","1_node_start"
12006018,10033072,"officer_of","shareholder of",NA,"25-MAR-2011","02-FEB-2012","Panama Papers","1_node_start"
12083570,10033743,"officer_of","shareholder of",NA,"11-MAY-2015",NA,"Panama Papers","1_node_start"
12082749,10033943,"officer_of","shareholder of",NA,"09-JUN-2004",NA,"Panama Papers","1_node_start"
12050944,10036177,"officer_of","shareholder of",NA,"15-SEP-2004","09-JUN-2005","Panama Papers","1_node_start"
12006018,10036665,"officer_of","shareholder of",NA,"15-MAY-2006",NA,"Panama Papers","1_node_start"
12058533,10040068,"officer_of","shareholder of",NA,"15-MAY-2006","15-MAR-2012","Panama Papers","1_node_start"
12055569,10040699,"officer_of","shareholder of",NA,"24-JUN-2005",NA,"Panama Papers","1_node_start"
12052690,10041016,"officer_of","shareholder of",NA,"19-OCT-2010",NA,"Panama Papers","1_node_start"
12052179,10041444,"officer_of","shareholder of",NA,"16-JUL-2008",NA,"Panama Papers","1_node_start"
12054485,10041844,"officer_of","shareholder of",NA,"21-JUN-2005",NA,"Panama Papers","1_node_start"
12052801,10041897,"officer_of","shareholder of",NA,NA,NA,"Panama Papers","1_node_start"
12020576,10044431,"officer_of","shareholder of",NA,"12-AUG-2010",NA,"Panama Papers","1_node_start"
12020527,10044431,"officer_of","shareholder of",NA,"12-AUG-2010",NA,"Panama Papers","1_node_start"
12020571,10044431,"officer_of","shareholder of",NA,"03-MAY-2013",NA,"Panama Papers","1_node_start"
12020528,10044431,"officer_of","shareholder of",NA,"12-AUG-2010","03-MAY-2013","Panama Papers","1_node_start"
12139820,10044554,"officer_of","shareholder of",NA,"30-JUL-2013",NA,"Panama Papers","1_node_start"
12057411,10044954,"officer_of","shareholder of",NA,"11-JUL-2006",NA,"Panama Papers","1_node_start"
12008708,10045028,"officer_of","shareholder of",NA,"21-AUG-2009","15-SEP-2010","Panama Papers","1_node_start"
12008707,10045028,"officer_of","shareholder of",NA,"15-SEP-2010","07-AUG-2014","Panama Papers","1_node_start"
12010681,10045028,"officer_of","shareholder of",NA,"15-SEP-2010","07-AUG-2014","Panama Papers","1_node_start"
12023479,10045384,"officer_of","shareholder of",NA,"28-DEC-2005",NA,"Panama Papers","1_node_start"
12029455,10045884,"officer_of","shareholder of",NA,"17-MAY-2001","07-MAR-2002","Panama Papers","1_node_start"
12029004,10045884,"officer_of","shareholder of",NA,"07-MAR-2002",NA,"Panama Papers","1_node_start"
12028963,10045884,"officer_of","shareholder of",NA,"17-MAY-2001","07-MAR-2002","Panama Papers","1_node_start"
12027773,10045884,"officer_of","shareholder of",NA,"07-MAR-2002",NA,"Panama Papers","1_node_start"
12027776,10045884,"officer_of","shareholder of",NA,"07-MAR-2002",NA,"Panama Papers","1_node_start"
12064764,10047892,"officer_of","shareholder of",NA,NA,NA,"Panama Papers","1_node_start"
12083329,10048364,"officer_of","shareholder of",NA,NA,NA,"Panama Papers","1_node_start"
12126992,10048377,"officer_of","shareholder of",NA,"25-FEB-2008",NA,"Panama Papers","1_node_start"
12205231,10048869,"officer_of","shareholder of",NA,"29-SEP-2006",NA,"Panama Papers","1_node_start"
12094893,10048959,"officer_of","shareholder of",NA,NA,NA,"Panama Papers","1_node_start"
12019064,10049745,"officer_of","shareholder of",NA,"10-JAN-2010",NA,"Panama Papers","1_node_start"
13001386,10049911,"officer_of","beneficiary of",NA,NA,NA,"Panama Papers","1_node_start"
12021056,10049990,"officer_of","shareholder of",NA,"16-FEB-2007","20-OCT-2010","Panama Papers","1_node_start"
13004123,10050039,"officer_of","beneficiary of",NA,NA,NA,"Panama Papers","1_node_start"
12082319,10050143,"officer_of","shareholder of",NA,"31-MAR-2007",NA,"Panama Papers","1_node_start"
12088411,10050480,"officer_of","shareholder of",NA,"21-DEC-2013",NA,"Panama Papers","1_node_start"
13012888,10050480,"officer_of","beneficiary of",NA,NA,NA,"Panama Papers","1_node_start"
12026134,10050495,"officer_of","shareholder of",NA,"10-OCT-2007",NA,"Panama Papers","1_node_start"
12026132,10050495,"officer_of","shareholder of",NA,"10-OCT-2007",NA,"Panama Papers","1_node_start"
12026122,10050495,"officer_of","shareholder of",NA,"10-OCT-2007",NA,"Panama Papers","1_node_start"
12007651,10050542,"officer_of","shareholder of",NA,"04-JUN-2008","01-JUL-2008","Panama Papers","1_node_start"
