Company;Country;Doc id;Cartel;a.k.a;Impact Report Page
Farmatel E.U;;21;Cali Cartel;;144
Drofarco;;21;Cali Cartel;;144
Macrofarma S.A;;21;Cali Cartel;;144
C A V J Corporation Ltda;;21;Cali Cartel;;144
Distribuidora del Valle E.U.;;21;Cali Cartel;;144
Import Mapri Ltda.;;21;Cali Cartel;;144
Magen Ltda.;;21;Cali Cartel;;144
Provida E.U.;;21;Cali Cartel;;144
Credirebaja S.A.;;21;Cali Cartel;;144
Copservir Drogas La Rebaja;;21;Cali Cartel;;144
Coopertiva Mercantil del Sur Ltda.;;21;Cali Cartel;;144
World Trade Ltda;;21;Cali Cartel;;144
Droblam S.A.;;21;Cali Cartel;;144
Lemofar Ltda.;;21;Cali Cartel;;144
Incommerce S.A.;;21;Cali Cartel;;144
Coopdisan;;21;Cali Cartel;;144
Codisa;;21;Cali Cartel;;144
Farmacoop;;21;Cali Cartel;;144
Cosmepop;;21;Cali Cartel;;144
Pentacoop;;21;Cali Cartel;;144
Comercializadora de Productos Farmaceuticos Ltda.;;21;Cali Cartel;;144
Matsum S.A.;;21;Cali Cartel;;144
Sepulveda-Iragorri, Ltd;Bahamas;21;Cali Cartel;;144
Ardila-Marmolejo, Ltd;Bahamas;21;Cali Cartel;;144
Inversiones Carfeni S.L.;Spain;21;Cali Cartel;;144
Sociedad Inversora en Proyectos de Internet S.A.;Spain;21;Cali Cartel;;144
Galeria de Portales S.A.;Spain;21;Cali Cartel;;144
Latinfarmacos S.A.;Ecuador;21;Cali Cartel;;144
Rionap S.A.;Ecuador;21;Cali Cartel;;144
Jomaga de Costa Rica S.A.;Costa Rica;21;Cali Cartel;;144
Customer Networks S.L.;Spain;21;Cali Cartel;;144
Premier Sales S.A.;Panama;21;Cali Cartel;;144
Colfarma Peru S.A.;Peru;21;Cali Cartel;;144
C.A. V.J. Corporation;Venezuela;21;Cali Cartel;;144
COSMEPOP;;21;Cali Cartel;;147
COPSERVIR DROGAS LA REBAJA;;21;Cali Cartel;;147
FARMACOOP;;21;Cali Cartel;;147
ARIAS ESPINOSA ARIES S.A.;;21;Cali Cartel;;147
INVERSIONES ASE LTDA.;;21;Cali Cartel;;147
EXCIPHARMA S.A.;;21;Cali Cartel;;147
SOLUCIONES COOPERATIVAS;;21;Cali Cartel;;147
SU SERVICIO SOCIEDAD LTDA.;;21;Cali Cartel;;147
ARCA DISTRIBUCIONES;;21;Cali Cartel;;147
ACTIVAR;;21;Cali Cartel;;147
S L M K LTDA.;;21;Cali Cartel;;147
VILLARO LTDA;;21;Cali Cartel;;147
TRIMARK LTDA.;;21;Cali Cartel;;147
GIAMX LTDA.;;21;Cali Cartel;;147
LITOPHARMA;;21;Cali Cartel;;147
MEGAPHARMA;;21;Cali Cartel;;147
COOPIFARMA;;21;Cali Cartel;;147
JYG ASESORES LTDA.;;21;Cali Cartel;;147
COOMULCOSTA;;21;Cali Cartel;;147
COMUDROGAS;;21;Cali Cartel;;147
FARMALIDER S.A.;;21;Cali Cartel;;147
FARMEDIS LTDA.;;21;Cali Cartel;;147
FARMAVISION;;21;Cali Cartel;;147
DISFOGEN LTDA.;;21;Cali Cartel;;147
TECNOVET LTDA.;;21;Cali Cartel;;147
SEGECOL LTDA.;;21;Cali Cartel;;147
INTERCONTINENTAL DE AVIACION S.A.;Colombia;21;North Valle Drug Cartel;;150
ACCIRENT S.A.;;21;North Valle Drug Cartel;;150
INDUSTRIAL MINERA Y PECUARIA S.A.;;21;North Valle Drug Cartel;;150
LA FRONTERA UNION GALVEZ Y CIA S EN C;;21;North Valle Drug Cartel;;150
INVERSIONES Y COMERCIALIZADORA INCOM LTDA;;21;North Valle Drug Cartel;;150
AEROCOMERCIAL ALAS DE COLOMBIA LTDA.;;21;North Valle Drug Cartel;;150
AEROVIAS ATLANTICO LTDA.;;21;North Valle Drug Cartel;;150
"""AEROATLANTICO LTDA";;21;North Valle Drug Cartel;;150
ASOCIACION TURISTICA INTERNACIONAL S.C.S.;;21;North Valle Drug Cartel;;150
DESARROLLOS AGROINDUSTRIALES S.A.;;21;North Valle Drug Cartel;;150
COMERCIALIZADORA ANDINO BRASILERA S.A.;;21;North Valle Drug Cartel;;150
CIA CONSTRUCTORA Y COMERCIALIZADORA DEL SUR LTDA.;;21;North Valle Drug Cartel;;150
GREEN ISLAND S.A.;;21;North Valle Drug Cartel;;150
INTERCONTINENTAL DE FINANCIACION AEREA S.A.;;21;North Valle Drug Cartel;;150
TRANS PACIFIC WORLD LEASING LIMITED;Vanuatu;21;North Valle Drug Cartel;;150
LARGO LEASING LTD;Cayman Islands;21;North Valle Drug Cartel;;150
LATINFARMACOS S.A.;Ecuador;21;Cali Cartel;;153
RIONAP COMERCIO Y REPRESENTACIONES S.A.;Ecuador;21;Cali Cartel;;153
ESPIBENA S.A.;Ecuador;21;Cali Cartel;;153
PREMIER SALES S.A.;Panama;21;Cali Cartel;;153
GALAVIZ CORPORATION, LTD.;Bahamas;21;Cali Cartel;;153
FARFALLA INVESTMENT S.A.;Panama;21;Cali Cartel;;153
A G REPRESENTACIONES LTDA.;Colombia;21;Cali Cartel;;153
INVERSIONES CAPITAL LTDA.;Colombia;21;Cali Cartel;;153
REPRESENTACIONES ZATZA LTDA.;Colombia;21;Cali Cartel;;153
